DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Mar-2026,EQ,"5,338.00","5,377.50","5,168.00","5,394.50","5,193.00","5,206.00","5,224.26","6,388.50","3,344.00",496250,"2,59,25,38,597.00",60539
12-Mar-2026,EQ,"5,589.00","5,589.00","5,376.00","5,575.00","5,390.50","5,394.50","5,440.72","6,388.50","3,344.00",476478,"2,59,23,83,201.00",52363
11-Mar-2026,EQ,"5,729.50","5,766.00","5,554.00","5,711.50","5,569.50","5,575.00","5,628.47","6,388.50","3,344.00",511965,"2,88,15,78,085.00",49540
10-Mar-2026,EQ,"5,546.50","5,733.50","5,527.50","5,480.00","5,715.50","5,711.50","5,653.43","6,388.50","3,344.00",493375,"2,78,92,62,925.00",45836
09-Mar-2026,EQ,"5,447.00","5,510.00","5,337.50","5,512.50","5,476.50","5,480.00","5,427.87","6,388.50","3,344.00",306358,"1,66,28,72,291.00",37434
06-Mar-2026,EQ,"5,571.00","5,571.50","5,490.00","5,588.50","5,520.00","5,512.50","5,523.41","6,388.50","3,344.00",431008,"2,38,06,32,219.50",52316
05-Mar-2026,EQ,"5,513.50","5,622.50","5,480.00","5,500.00","5,568.50","5,588.50","5,548.04","6,388.50","3,344.00",545405,"3,02,59,26,335.00",54079
04-Mar-2026,EQ,"5,520.00","5,529.00","5,427.50","5,591.50","5,490.00","5,500.00","5,480.33","6,388.50","3,344.00",455955,"2,49,87,82,115.50",45954
02-Mar-2026,EQ,"5,565.00","5,725.00","5,503.00","5,710.00","5,584.00","5,591.50","5,610.45","6,388.50","3,344.00",432301,"2,42,54,03,900.00",60317
27-Feb-2026,EQ,"5,775.00","5,800.00","5,689.00","5,787.00","5,715.00","5,710.00","5,730.41","6,388.50","3,344.00",584546,"3,34,96,90,117.50",44509
26-Feb-2026,EQ,"5,760.00","5,829.00","5,718.50","5,737.50","5,781.00","5,787.00","5,771.76","6,388.50","3,344.00",489797,"2,82,69,91,095.50",60062
25-Feb-2026,EQ,"5,511.00","5,840.00","5,500.50","5,511.00","5,740.00","5,737.50","5,729.51","6,388.50","3,344.00",898486,"5,14,78,81,746.50",84005
24-Feb-2026,EQ,"5,480.00","5,523.00","5,436.50","5,488.50","5,520.00","5,511.00","5,499.36","6,388.50","3,344.00",396015,"2,17,78,29,812.50",50287
23-Feb-2026,EQ,"5,504.50","5,549.00","5,437.00","5,465.00","5,498.00","5,488.50","5,485.18","6,388.50","3,344.00",310190,"1,70,14,48,713.50",41597
20-Feb-2026,EQ,"5,400.00","5,472.00","5,375.00","5,414.50","5,458.00","5,465.00","5,430.98","6,388.50","3,344.00",560735,"3,04,53,41,017.50",50846
19-Feb-2026,EQ,"5,600.00","5,644.50","5,387.50","5,592.00","5,405.00","5,414.50","5,497.21","6,388.50","3,344.00",307768,"1,69,18,64,322.00",36597
18-Feb-2026,EQ,"5,595.00","5,628.00","5,546.50","5,577.00","5,594.50","5,592.00","5,587.08","6,388.50","3,344.00",197770,"1,10,49,57,449.00",28782
17-Feb-2026,EQ,"5,490.00","5,588.00","5,446.50","5,492.00","5,565.00","5,577.00","5,534.17","6,388.50","3,344.00",288723,"1,59,78,41,133.50",28803
16-Feb-2026,EQ,"5,578.00","5,623.50","5,459.00","5,584.00","5,482.50","5,492.00","5,511.09","6,388.50","3,344.00",285719,"1,57,46,22,796.50",31289
13-Feb-2026,EQ,"5,702.00","5,724.50","5,560.00","5,733.00","5,562.00","5,584.00","5,627.89","6,388.50","3,344.00",394003,"2,21,74,06,957.00",36902
12-Feb-2026,EQ,"5,704.00","5,805.00","5,683.50","5,682.50","5,725.50","5,733.00","5,747.17","6,388.50","3,344.00",560676,"3,22,23,00,184.00",41969
11-Feb-2026,EQ,"5,695.00","5,750.00","5,546.00","5,753.50","5,682.00","5,682.50","5,672.13","6,388.50","3,344.00",684908,"3,88,48,89,875.00",67502
10-Feb-2026,EQ,"5,785.00","5,845.00","5,718.00","5,756.50","5,754.50","5,753.50","5,779.96","6,388.50","3,344.00",816528,"4,71,95,01,136.00",64915
09-Feb-2026,EQ,"5,800.00","5,816.00","5,667.00","5,753.50","5,748.50","5,756.50","5,738.81","6,388.50","3,344.00",543956,"3,12,16,61,364.50",50905
06-Feb-2026,EQ,"5,772.00","5,841.00","5,715.50","5,766.00","5,746.00","5,753.50","5,777.95","6,388.50","3,344.00",770475,"4,45,17,67,807.00",75535
05-Feb-2026,EQ,"5,880.50","5,890.00","5,745.00","5,851.50","5,780.50","5,766.00","5,795.65","6,388.50","3,344.00",331312,"1,92,01,68,709.50",40454
04-Feb-2026,EQ,"5,747.00","5,878.00","5,716.50","5,763.00","5,856.00","5,851.50","5,833.51","6,388.50","3,344.00",490202,"2,85,95,97,723.00",58752
03-Feb-2026,EQ,"5,734.00","5,791.00","5,676.50","5,623.00","5,765.00","5,763.00","5,735.88","6,388.50","3,344.00",592655,"3,39,93,96,375.00",56533
02-Feb-2026,EQ,"5,550.00","5,650.50","5,418.00","5,502.50","5,636.00","5,623.00","5,530.40","6,388.50","3,344.00",449861,"2,48,79,13,511.50",54045
01-Feb-2026,EQ,"5,568.00","5,694.50","5,404.50","5,534.00","5,532.00","5,502.50","5,587.99","6,388.50","3,344.00",430982,"2,40,83,22,513.50",36537
30-Jan-2026,EQ,"5,540.50","5,595.00","5,465.00","5,580.00","5,530.00","5,534.00","5,533.20","6,388.50","3,344.00",466102,"2,57,90,36,272.00",43905
29-Jan-2026,EQ,"5,522.00","5,595.00","5,472.00","5,512.50","5,577.00","5,580.00","5,549.13","6,388.50","3,344.00",337842,"1,87,47,29,779.50",44999
28-Jan-2026,EQ,"5,407.00","5,524.00","5,328.50","5,380.00","5,510.00","5,512.50","5,412.76","6,388.50","3,344.00",547414,"2,96,30,18,678.50",57654
27-Jan-2026,EQ,"5,418.00","5,424.50","5,298.50","5,384.00","5,390.50","5,380.00","5,354.37","6,388.50","3,344.00",400942,"2,14,67,90,944.00",47292
